sort_order,visible,project_name,project_image,description,client,location,value,duration,category,year,highlights
1,yes,Corteva Agriscience Office Renovation,/images/projects/corteva-office.jpg,"Design and construction of approximately 600 m2 of office space including boardroom, canteen, co-working space, and workstation rearrangement.",Corteva,"M Thai Tower, Bangkok","6,449,275 Baht",4 months,Office fit-out,2024,"Office space design and construction|Boardroom and multifunction canteen renovation|Co-working space construction"
2,yes,STT Parking Shelter,/images/projects/stt-parking-shelter.jpg,"Construction of a car-parking shade structure for 15 parking spaces with underground piping survey and off-site steel fabrication.",STT GDC (Thailand),"Soi Ramkhamhaeng 28, Bangkok","2,323,839 Baht",3 months,Steel structure,2024,"Car-parking shade for 15 spaces|Underground piping obstruction survey|Off-site steel fabrication"
